,q
0,5770.4
1,5893.4
2,5879.76
3,5763.4
4,5654.4
5,5989.4
6,5770.4
7,5816.4
8,5692.4
9,5898.76
10,6108.4
11,5582.4
12,6048.76
13,6065.76
14,6316.76
15,5757.4
16,6018.4
17,5592.4
18,5843.12
19,6066.48
20,5885.4
21,6182.48
22,5774.4
23,5942.76
24,5966.4
25,5946.76
26,6144.76
27,6061.76
28,6200.56
29,5780.4
30,5834.76
31,5550.4
32,5718.4
33,5931.76
34,6067.76
35,5836.12
36,5799.12
37,6209.4
38,6056.12
39,6076.12
40,5835.4
41,5690.4
42,5769.4
43,6113.76
44,5628.76
45,5737.4
46,5962.76
47,5828.76
48,5758.4
49,6238.4
50,5749.12
51,5748.76
52,5579.4
53,5824.12
54,5966.4
55,6238.4
56,5832.12
57,5567.4
58,5742.76
59,5865.12
60,5888.76
61,5651.76
62,5775.4
63,5914.4
64,5893.76
65,5767.76
66,5938.12
67,5841.76
68,5719.76
69,5829.48
70,6000.48
71,6332.48
72,5722.4
73,5899.4
74,5857.4
75,5942.76
76,5841.4
77,5859.48
78,5791.76
79,5713.4
80,5954.4
81,5764.4
82,6087.76
83,5902.4
84,5719.76
85,5773.76
86,5849.4
87,6016.4
88,5972.76
89,5830.48
90,6205.56
91,5713.4
92,5858.76
93,6091.12
94,6203.48
95,6187.76
96,5850.12
97,5819.4
98,5770.4
99,5975.4
100,5817.76
101,5792.76
102,6016.4
103,5929.76
104,5723.4
105,5829.4
106,5785.4
107,5877.76
108,6007.84
109,5740.4
110,6049.4
111,5858.4
112,6063.84
113,6160.12
114,6428.2
115,5996.4
116,5900.76
117,5997.76
118,5968.48
119,6073.76
120,5779.76
121,6044.84
122,6053.4
123,5771.76
124,6211.12
125,6177.12
126,5782.4
127,6201.76
128,5765.76
129,5986.4
130,5984.76
131,5827.12
132,5658.4
133,6000.4
134,6158.48
135,5676.4
136,6142.4
137,6070.4
138,5723.4
139,6001.4
140,6065.76
141,5739.12
142,5878.76
143,5851.48
144,5969.48
145,5722.4
146,5975.76
147,5980.4
148,5777.4
149,6008.76
150,5965.76
151,5789.4
152,5627.4
153,6178.76
154,5874.4
155,5904.4
156,5856.4
157,6058.4
158,6255.4
159,5679.4
160,5801.12
161,5878.76
162,6272.84
163,5688.4
164,5994.4
165,5980.4
166,5782.4
167,5988.12
168,5790.12
169,5650.4
170,6003.76
171,5875.4
172,6192.76
173,6076.4
174,6251.4
175,5721.4
176,6063.4
177,5887.4
178,5879.76
179,5791.12
180,5765.4
181,5746.76
182,5780.4
183,5689.76
184,6224.4
185,5669.4
186,5923.12
187,5794.76
188,6045.4
189,6012.76
190,5755.4
191,5749.4
192,5804.4
193,5634.4
194,5811.4
195,6012.84
196,5678.4
197,6188.12
198,5862.76
199,5570.4
200,5745.76
201,5944.84
202,5646.4
203,6030.48
204,6198.12
205,5815.4
206,5833.12
207,5974.76
208,6171.76
209,6141.4
210,5756.4
211,5539.4
212,5811.4
213,6097.4
214,6093.12
215,5754.4
216,5954.12
217,5684.4
218,5939.4
219,6198.84
220,5892.76
221,5983.12
222,5807.76
223,6237.84
224,5706.4
225,6020.2
226,5806.4
227,6040.4
228,5678.76
229,6055.4
230,5893.76
231,6032.12
232,5820.4
233,5891.4
234,5912.76
235,5865.4
236,5846.48
237,5757.12
238,5727.4
239,5774.4
240,5783.4
241,6002.4
242,6193.76
243,6020.84
244,6049.76
245,5636.4
246,5670.4
247,5915.4
248,5640.4
249,5837.4
250,5590.4
251,5999.4
252,6095.76
253,5779.4
254,5735.76
255,5862.76
256,5716.76
257,5855.48
258,6095.12
259,6070.76
260,5726.4
261,5857.4
262,6162.84
263,5620.4
264,5965.48
265,5801.4
266,5803.4
267,5872.76
268,5660.4
269,5818.76
270,5926.4
271,5967.4
272,5932.4
273,5878.76
274,6161.12
275,5674.76
276,6102.4
277,5916.12
278,5842.4
279,6258.48
280,5970.84
281,5634.76
282,5859.4
283,5621.4
284,5775.76
285,5692.4
286,6013.4
287,6112.76
288,6305.12
289,5767.4
290,6058.4
291,5807.76
292,5575.4
293,5602.4
294,6045.12
295,5751.12
296,5946.76
297,5625.4
298,6259.84
299,5941.4
300,6087.12
301,6155.76
302,5831.4
303,5912.76
304,5751.4
305,5624.4
306,5775.4
307,6298.56
308,6016.76
309,5961.48
310,5741.76
311,5785.4
312,5809.4
313,5918.4
314,6064.2
315,5791.76
316,5799.76
317,5659.76
318,5667.4
319,5997.12
320,5949.4
321,6111.4
322,5734.12
323,5768.4
324,6097.4
325,5708.4
326,5780.76
327,5747.12
328,6055.4
329,5812.76
330,6044.4
331,5975.4
332,5939.4
333,5709.4
334,5889.76
335,6038.4
336,6046.76
337,5806.76
338,5895.76
339,6323.56
340,6015.4
341,5915.4
342,6080.4
343,6227.48
344,6200.84
345,6014.4
346,6068.76
347,5891.4
348,5924.4
349,5670.76
350,6082.84
351,5813.4
352,5766.4
353,5747.4
354,5692.4
355,6210.4
356,5679.4
357,6312.48
358,5735.76
359,6274.84
360,5651.76
361,6310.4
362,5647.4
363,5818.4
364,6005.4
365,5799.4
366,5794.4
367,6119.12
368,5931.12
369,5992.4
370,6246.12
371,5781.76
372,5937.4
373,5994.76
374,6000.12
375,6175.12
376,5607.76
377,5717.4
378,5828.4
379,5747.4
380,5650.4
381,5788.76
382,5874.4
383,5866.4
384,5640.4
385,5660.4
386,5748.4
387,5850.76
388,5710.4
389,6094.4
390,6174.4
391,5967.4
392,5808.4
393,6157.48
394,6012.4
395,5881.12
396,5605.4
397,6184.76
398,6075.48
399,5818.4
400,6048.12
401,5664.4
402,6090.4
403,5891.12
404,6191.76
405,5698.4
406,5960.4
407,5675.4
408,5638.76
409,5793.4
410,6264.4
411,6156.48
412,5931.4
413,5915.76
414,5845.48
415,6134.4
416,5688.76
417,5826.76
418,5811.4
419,5949.4
420,5697.76
421,6114.76
422,5930.12
423,5668.76
424,5932.48
425,5893.4
426,6033.48
427,5792.4
428,6146.12
429,5691.4
430,5796.48
431,5664.76
432,5748.12
433,5528.4
434,5887.4
435,5982.4
436,5893.4
437,5775.12
438,5657.4
439,5761.12
440,5730.76
441,6084.76
442,6212.48
443,6183.4
444,5699.4
445,6263.84
446,6092.48
447,6045.76
448,6062.12
449,5956.48
450,5979.48
451,5847.4
452,5558.4
453,6220.48
454,5679.4
455,5802.76
456,5539.4
457,6167.48
458,5898.76
459,5807.76
460,6203.2
461,6167.76
462,5947.12
463,6148.4
464,5929.12
465,6073.76
466,5768.4
467,5900.4
468,5669.4
469,5976.76
470,5772.76
471,5895.4
472,6032.4
473,6032.76
474,5822.76
475,5791.76
476,6030.48
477,6194.76
478,5752.76
479,5664.4
480,5651.4
481,5842.12
482,5777.4
483,5900.76
484,5791.76
485,5960.76
486,5721.4
487,5818.76
488,5926.12
489,5940.12
490,6067.48
491,5893.76
492,6265.4
493,5869.76
494,5885.4
495,5888.4
496,5722.76
497,5881.76
498,5924.76
499,5904.4
500,5774.4
501,6273.48
502,5746.4
503,6175.76
504,6501.48
505,5967.4
506,5712.4
507,5655.76
508,6262.4
509,5776.4
510,6038.4
511,5936.12
512,5896.48
513,5801.4
514,5595.4
515,5808.4
516,6487.84
517,5872.12
518,6046.12
519,5999.4
520,5890.4
521,6092.4
522,6165.4
523,5684.76
524,5658.4
525,5794.4
526,5930.4
527,6224.76
528,5792.4
529,5636.76
530,5655.76
531,5759.76
532,6005.4
533,6058.48
534,5958.76
535,5967.4
536,6083.4
537,5823.4
538,5795.76
539,5585.4
540,6000.76
541,5853.4
542,5709.4
543,5671.4
544,6102.76
545,5910.4
546,5888.4
547,5716.4
548,5668.76
549,5886.4
550,5940.4
551,5894.4
552,5587.4
553,6120.4
554,5861.76
555,6108.4
556,5927.76
557,5843.76
558,5852.4
559,5992.76
560,6185.48
561,5892.76
562,6192.4
563,6016.12
564,5930.4
565,5822.76
566,6162.4
567,5746.76
568,5575.4
569,5513.4
570,5774.76
571,5922.4
572,6094.12
573,5923.4
574,6021.4
575,5902.4
576,5937.76
577,5871.4
578,6046.4
579,5790.76
580,5993.4
581,6013.4
582,5886.4
583,5891.76
584,6148.2
585,6205.48
586,5895.76
587,5949.84
588,5815.76
589,5851.4
590,5863.48
591,6043.76
592,5754.12
593,5837.4
594,5995.4
595,5615.4
596,5971.84
597,5601.4
598,5997.76
599,5948.12
600,5733.4
601,6116.12
602,5697.4
603,6047.48
604,6188.4
605,5829.4
606,5764.4
607,5992.4
608,5666.4
609,5774.76
610,6006.12
611,6189.12
612,5758.12
613,6172.48
614,6035.76
615,5916.4
616,6063.4
617,5922.48
618,5936.12
619,5635.76
620,5737.4
621,6098.76
622,5941.12
623,5862.4
624,6041.76
625,5788.4
626,5978.76
627,6239.12
628,6105.76
629,5565.4
630,5891.4
631,5758.76
632,5921.4
633,5898.4
634,5840.76
635,5778.4
636,5874.4
637,5620.76
638,5700.4
639,5740.76
640,5836.4
641,6192.48
642,6020.84
643,5644.76
644,5578.4
645,5735.76
646,6186.4
647,6003.4
648,6117.48
649,5793.12
650,5788.4
651,5651.4
652,5748.4
653,6008.4
654,6397.12
655,5972.12
656,5955.84
657,5785.4
658,6238.4
659,5587.4
660,5980.76
661,5759.4
662,5760.4
663,6082.48
664,5968.4
665,5792.76
666,5703.4
667,5650.4
668,5680.4
669,6127.12
670,5857.76
671,6046.4
672,5994.4
673,5664.4
674,5875.4
675,5760.4
676,5853.48
677,6170.4
678,5940.4
679,5787.4
680,5793.76
681,5823.4
682,6276.12
683,5940.4
684,6030.76
685,5798.12
686,6203.76
687,6057.12
688,5820.12
689,5994.4
690,5857.4
691,5648.4
692,6013.4
693,5821.4
694,5848.48
695,5784.4
696,5884.76
697,5958.4
698,5807.4
699,5805.4
700,5683.4
701,5930.4
702,5733.12
703,5686.4
704,5951.4
705,5947.76
706,5998.4
707,5951.76
708,5905.76
709,6088.76
710,5846.4
711,5584.4
712,5996.12
713,5809.4
714,5952.4
715,5823.4
716,5923.48
717,5853.76
718,5893.4
719,5541.4
720,6106.76
721,5805.4
722,5931.48
723,5949.4
724,6133.4
725,6069.84
726,5874.76
727,5722.4
728,5787.76
729,5694.4
730,5558.4
731,5736.4
732,5938.4
733,5610.4
734,5992.84
735,5573.4
736,6281.12
737,5864.4
738,6052.12
739,6233.4
740,5755.76
741,5948.4
742,5781.4
743,5799.4
744,6239.84
745,5635.4
746,5692.4
747,5700.76
748,5683.4
749,6185.4
750,6106.4
751,5749.76
752,6064.12
753,6114.4
754,5754.4
755,5745.12
756,5929.4
757,5964.4
758,5837.48
759,5853.12
760,5615.4
761,5783.4
762,5859.12
763,6233.84
764,6282.48
765,6014.4
766,5833.76
767,6550.2
768,5862.12
769,5676.76
770,5845.4
771,6343.4
772,5829.4
773,5826.4
774,5694.4
775,6000.4
776,6442.12
777,6115.76
778,5803.4
779,5983.12
780,5561.4
781,5600.4
782,6106.76
783,5982.4
784,5928.4
785,5897.4
786,5558.4
787,5652.4
788,5842.76
789,5847.76
790,5671.4
791,5954.4
792,5701.4
793,5690.4
794,5884.4
795,6100.84
796,6180.48
797,5969.76
798,6023.84
799,5729.76
800,6156.4
801,5572.4
802,5786.76
803,6056.12
804,6144.84
805,5809.4
806,5806.4
807,5684.76
808,5837.48
809,6166.48
810,6152.12
811,5949.4
812,5830.12
813,5602.4
814,5680.4
815,6294.4
816,6162.48
817,5654.76
818,6150.4
819,6048.76
820,5669.76
821,6109.12
822,5875.76
823,5769.4
824,5914.76
825,6099.4
826,5652.4
827,5873.48
828,6141.12
829,5540.4
830,6042.4
831,5900.4
832,5625.4
833,5763.76
834,5985.76
835,5569.4
836,5684.4
837,5627.4
838,6055.76
839,5914.76
840,5682.4
841,6219.4
842,5839.76
843,5890.76
844,5803.76
845,5834.12
846,5736.4
847,5832.76
848,5816.12
849,6237.12
850,5955.12
851,5807.4
852,5626.4
853,5561.4
854,6003.4
855,6095.48
856,5909.4
857,5664.4
858,5814.4
859,5568.4
860,5808.4
861,5880.12
862,6134.2
863,5882.4
864,5729.4
865,5887.76
866,6012.4
867,5795.4
868,6127.4
869,5712.4
870,6057.4
871,5806.4
872,5650.4
873,6189.12
874,5662.4
875,5843.4
876,6162.4
877,5562.4
878,6010.76
879,5743.76
880,5550.4
881,5896.12
882,5767.76
883,5671.76
884,5604.4
