,q
0,7867.43
1,7662.43
2,7630.43
3,7993.57
4,7972.57
5,8001.57
6,7649.43
7,7876.57
8,7524.43
9,7636.43
10,7665.43
11,7544.43
12,7861.43
13,8223.71
14,7721.43
15,7651.43
16,8186.57
17,8009.57
18,7758.43
19,8334.71
20,7634.43
21,7865.43
22,8182.57
23,7770.43
24,7993.57
25,8179.57
26,7749.43
27,7729.43
28,8226.71
29,8322.71
30,8183.57
31,7578.43
32,7692.43
33,7903.57
34,7880.57
35,7626.43
36,7989.57
37,7650.43
38,7641.43
39,8777.86
40,7892.57
41,7749.43
42,8092.57
43,7658.43
44,7650.43
45,8341.71
46,7981.57
47,7643.43
48,8356.71
49,7995.57
50,7546.43
51,7720.43
52,8222.71
53,7851.43
54,7869.43
55,7872.57
56,7978.57
57,7974.43
58,8335.71
59,7758.43
60,8105.57
61,8198.57
62,7962.43
63,7983.57
64,7833.43
65,7644.43
66,8597.86
67,7756.43
68,7657.43
69,8115.57
70,8354.71
71,7761.43
72,7750.43
73,7978.57
74,8199.57
75,8183.57
76,7532.43
77,7986.57
78,8430.71
79,7778.43
80,8330.71
81,7654.43
82,7849.43
83,7549.43
84,7871.43
85,8005.57
86,7730.43
87,8087.57
88,8537.71
89,8357.71
90,7549.43
91,7855.43
92,7637.43
93,7658.43
94,7747.43
95,7756.43
96,8079.57
97,7838.43
98,7671.43
99,7620.43
