,q
0,6080.56
1,6064.56
2,6179.92
3,6154.56
4,6256.56
5,6076.56
6,6248.92
7,6265.28
8,6147.56
9,6069.56
10,6231.92
11,6059.56
12,6115.56
13,6157.92
14,6378.28
15,6086.56
16,6164.56
17,6138.92
18,6180.92
19,6152.56
20,6057.56
21,6212.56
22,6087.56
23,6175.56
24,6077.56
25,6233.56
26,6074.56
27,6101.56
28,6170.56
29,6260.56
30,6351.64
31,6037.56
32,6040.56
33,6164.92
34,6217.92
35,6256.28
36,6190.56
37,6352.92
38,6124.56
39,6153.92
40,6053.56
41,6061.56
42,6157.56
43,6166.56
44,6152.92
45,6193.56
46,6110.56
47,6071.56
48,6152.56
49,6105.56
50,6036.56
51,6173.92
52,6242.92
53,6138.56
54,6250.92
55,6173.92
56,6378.92
57,6267.56
58,6239.28
59,6052.56
60,6105.56
61,6207.56
62,6127.56
63,6408.92
64,6285.56
65,6239.92
66,6081.56
67,6051.56
68,6073.56
69,6346.28
70,6122.56
71,6106.56
72,6082.56
73,6276.92
74,6264.28
75,6063.56
76,6051.56
77,6042.56
78,6120.56
79,6255.56
80,6189.56
81,6182.56
82,6429.56
83,6263.28
84,6098.56
85,6073.56
86,6087.56
87,6130.56
88,6394.92
89,6183.56
90,6460.28
91,6146.56
92,6068.56
93,6096.56
94,6166.92
95,6054.56
96,6060.56
97,6482.56
98,6036.56
99,6082.56
100,6058.56
101,6035.56
102,6251.92
103,6106.56
104,6226.56
105,6145.92
106,6164.92
107,6178.56
108,6157.92
109,6069.56
110,6164.56
111,6062.56
112,6106.56
113,6180.56
114,6161.56
115,6144.92
116,6134.56
117,6188.56
118,6149.56
119,6176.56
120,6062.56
121,6296.28
122,6147.92
123,6122.56
124,6455.92
125,6394.56
126,6061.56
127,6247.28
128,6173.56
129,6138.92
130,6073.56
131,6169.56
132,6142.92
133,6062.56
134,6064.56
135,6192.92
136,6277.56
137,6378.64
138,6182.92
139,6059.56
140,6076.56
141,6151.56
142,6045.56
143,6179.56
144,6120.56
145,6108.56
146,6161.56
147,6256.56
148,6263.92
149,6203.56
150,6052.56
151,6061.56
152,6159.92
153,6243.92
154,6174.56
155,6074.56
156,6141.92
157,6109.56
158,6241.56
159,6293.92
160,6301.92
161,6059.56
162,6048.56
163,6280.56
164,6053.56
165,6144.92
166,6264.56
167,6252.56
168,6078.56
169,6092.56
170,6212.92
171,6057.56
172,6351.64
173,6381.28
174,6088.56
175,6203.92
176,6073.56
177,6124.56
178,6249.56
179,6282.92
180,6076.56
181,6277.92
182,6067.56
183,6158.56
184,6063.56
185,6038.56
186,6354.92
187,6252.92
188,6103.56
189,6264.28
190,6153.56
191,6238.92
192,6086.56
193,6165.56
194,6179.56
195,6252.92
196,6199.92
197,6266.92
198,6284.56
199,6049.56
200,6274.56
201,6059.56
202,6179.56
203,6188.56
204,6114.56
205,6260.56
206,6218.56
207,6193.56
208,6067.56
209,6047.56
210,6097.56
211,6073.56
212,6058.56
213,6170.56
214,6147.56
215,6067.56
216,6038.56
217,6072.56
218,6143.56
219,6058.56
220,6294.92
221,6311.56
222,6092.56
223,6065.56
224,6249.92
225,6248.56
226,6563.56
227,6069.56
228,6253.56
229,6216.56
230,6098.56
231,6165.56
232,6076.56
233,6063.56
234,6232.56
235,6078.56
236,6159.92
237,6058.56
238,6267.92
239,6260.92
240,6066.56
241,6272.92
242,6222.56
243,6161.56
244,6284.56
245,6088.56
246,6065.56
247,6110.56
248,6225.56
249,6078.56
250,6164.92
251,6182.56
252,6273.28
253,6175.56
254,6066.56
255,6238.92
256,6140.92
257,6050.56
258,6417.56
259,6199.56
260,6099.56
261,6175.92
262,6244.56
263,6205.56
264,6062.56
265,6042.56
266,6260.92
267,6176.92
268,6347.92
269,6143.56
270,6101.56
271,6262.56
272,6287.56
273,6090.56
274,6110.56
275,6160.56
276,6282.56
277,6078.56
278,6156.56
279,6183.56
280,6039.56
281,6182.56
282,6118.56
283,6064.56
284,6105.56
285,6179.92
286,6176.92
287,6349.28
288,6067.56
289,6114.56
290,6151.56
291,6201.56
292,6222.56
293,6445.92
294,6056.56
295,6208.92
296,6074.56
297,6079.56
298,6416.92
299,6206.92
300,6073.56
301,6163.56
302,6209.56
303,6187.56
304,6231.56
305,6162.92
306,6304.56
307,6264.56
308,6160.92
309,6312.56
310,6192.56
311,6093.56
312,6160.92
313,6376.56
314,6044.56
315,6165.92
316,6154.56
317,6262.28
318,6051.56
319,6190.92
320,6162.56
321,6376.56
322,6144.56
323,6048.56
324,6082.56
325,6202.92
326,6264.92
327,6208.92
328,6056.56
329,6179.92
330,6170.56
331,6044.56
332,6081.56
333,6113.56
334,6269.92
335,6094.56
336,6506.56
337,6045.56
338,6054.56
339,6275.92
340,6101.56
341,6137.92
342,6049.56
343,6356.64
344,6058.56
345,6175.56
346,6175.92
347,6055.56
348,6187.56
349,6167.56
350,6081.56
351,6097.56
352,6170.56
353,6074.56
354,6229.56
355,6154.56
